pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
 0.2549	-0.3079	 0.2268	  808.239000000	    21.194000000	  181.929000000	1.710	11	274.53927566602	0.1277	-12.30656762009	0.1278	4153562305327671040	 -0.1164 	0.1521	 -2.448	0.237	 -6.136	0.207	0	     2387.10010	      2.95350	17.243700	0.001300	      308.82001	     14.57100 	19.127100	0.051200	     3773.10010	     20.73900	15.820200	0.006000	 3.3070	       	     	       	      	      	      	         	0.00
 0.2894	-0.2865	 0.2352	  580.642000000	    95.157000000	   72.511000000	1.865	11	274.53922969937	0.1017	-12.31237807543	0.1029	4153562301007970304	 -0.1944 	0.1237	 -4.300	0.194	  2.660	0.176	0	    10520.00000	     18.11700	15.633400	0.001900	     1126.59998	     11.83900 	17.722000	0.011400	    18488.00000	    254.97000	14.094700	0.015000	 3.6273	       	     	3702.6 	      	      	      	         	0.00
 0.1567	-0.3172	 0.1919	 2940.361000000	   457.271000000	  295.925000000	1.230	11	274.51737222673	0.0268	-12.31756272555	0.0271	4153562339687422976	  0.8555 	0.0304	  0.028	0.050	 -0.700	0.044	0	    54036.00000	     18.37700	13.856700	0.000400	    28369.00000	     62.04000 	14.219300	0.002400	    38089.00000	    128.71001	13.309900	0.003700	 0.9093	       	     	5455.2 	1.5490	0.7630	  1.94	    2.995	0.00
 0.3650	-0.2694	 0.2091	  736.342000000	    37.551000000	  186.958000000	1.596	11	274.52076744274	0.1076	-12.31536445924	0.1047	4153562339687421952	  0.2629 	0.1189	 -0.350	0.202	 -2.407	0.179	0	     2091.19995	      2.84000	17.387400	0.001500	      374.95999	      9.98550 	18.916400	0.028900	     2961.80005	     15.84200	16.083000	0.005800	 2.8334	       	     	       	      	      	      	         	0.98
 0.3388	-0.2662	 0.2458	  618.489000000	    28.220000000	  145.902000000	1.542	11	274.52668022289	0.1496	-12.30949553804	0.1468	4153562374047160832	  0.2486 	0.1755	  0.182	0.284	 -1.256	0.251	0	     1627.09998	      2.63070	17.659800	0.001800	      403.88000	     14.31200 	18.835800	0.038500	     2104.39990	     14.42400	16.454100	0.007400	 2.3817	       	     	       	      	      	      	         	0.10
 0.3468	-0.3149	 0.1811	  606.336000000	    38.625000000	   90.976000000	1.470	11	274.52183545275	0.1531	-12.29884390045	0.1481	4153562369727456768	  0.7778 	0.1681	  2.329	0.287	  3.480	0.252	0	     1374.00000	      2.26610	17.843400	0.001800	      516.53998	     13.37300 	18.568600	0.028100	     1503.09998	     16.52200	16.819500	0.011900	 1.7492	       	     	       	      	      	      	         	0.00
 0.2128	-0.3311	 0.2421	  884.373000000	    60.885000000	  216.085000000	1.602	11	274.53231410079	0.0840	-12.29832619365	0.0865	4153562369727457664	  0.1256 	0.1044	 -8.408	0.157	 -2.576	0.136	0	     7079.89990	      8.00550	16.063300	0.001200	      941.95001	     15.47100 	17.916300	0.017800	    10400.00000	     48.12700	14.719400	0.005000	 3.1969	       	     	4121.3 	2.6620	1.3658	      	         	0.00
 0.0843	-0.1122	 0.1159	  915.096000000	    39.110000000	  327.832000000	1.533	10	274.52923825479	0.1014	-12.30307615924	0.1010	4153562374047166464	  0.3868 	0.1208	  1.978	0.198	 -3.350	0.171	0	     4669.60010	      5.10290	16.515200	0.001200	      882.32001	     22.56000 	17.987300	0.027800	     6276.20020	     19.14500	15.267700	0.003300	 2.7197	       	     	3560.0 	      	      	      	         	0.00
 0.3249	-0.2977	 0.2531	  927.486000000	    99.709000000	  217.326000000	1.388	11	274.52692911597	0.0851	-12.30283486770	0.0839	4153562374047170432	  0.5292 	0.1031	 -2.176	0.162	 -4.323	0.151	0	     3737.10010	      4.02930	16.757000	0.001200	     1438.50000	     14.42700 	17.456600	0.010900	     3750.19995	     17.25600	15.826800	0.005000	 1.6298	       	     	4337.7 	2.1625	1.0918	      	         	0.00
 0.4527	-0.2968	 0.1520	  834.416000000	   138.368000000	  116.659000000	1.375	11	274.47053746297	0.1077	-12.32043434593	0.1025	4153562644605346048	  0.5950 	0.1132	 -2.642	0.211	 -4.250	0.194	0	     2541.30005	      3.04560	17.175700	0.001300	      903.59003	      6.53030 	17.961500	0.007800	     2590.19995	     22.20300	16.228600	0.009300	 1.7329	       	     	       	      	      	      	         	0.00
