pmRApmDEcor	PlxpmRAcor	PlxpmDEcor	RFG	RFBP	RFRP	E(BR/RP)	Nper	RAdeg	e_RAdeg	DEdeg	e_DEdeg	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BR-RP)	Rad	Lum	Pmemb
---	---	---	---	---	---	---	---	deg	mas	deg	mas	---	mas	mas	mas/yr	mas/yr	mas/yr	mas/yr	---	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	e-/s	e-/s	mag	mag	mag	km/s	km/s	K	mag	mag	solRad	solLum	---
-------	-------	-------	---------------	----------------	---------------	-----	--	---------------	------	---------------	------	-------------------	---------	------	-------	-----	-------	-----	-	---------------	-------------	---------	--------	---------------	--------------	---------	--------	---------------	-------------	---------	--------	-------	-------	-----	-------	------	------	------	---------	----
-0.1134	-0.1961	 0.3856	  502.144000000	    22.459000000	   38.629000000	1.429	12	251.70260973237	0.2074	-47.15046757764	0.1869	5939654966819186816	  0.2022 	0.2670	 -3.135	0.376	 -1.448	0.320	0	      837.01001	      1.66690	18.381500	0.002200	      305.88000	     13.62000 	19.137500	0.048300	      890.25000	     23.04600	17.388100	0.028100	 1.7494	       	     	       	      	      	      	         	0.00
-0.1224	-0.1537	 0.4013	  474.000000000	    34.282000000	   39.529000000	1.478	12	251.69013392091	0.1996	-47.14962762871	0.1836	5939654962502502656	  0.6741 	0.2642	 -1.688	0.371	 -3.926	0.319	0	      660.85999	      1.39420	18.638100	0.002300	      222.69000	      6.49580 	19.482100	0.031700	      753.77002	     19.06900	17.568800	0.027500	 1.9133	       	     	       	      	      	      	         	0.00
-0.1530	-0.1513	 0.4002	  552.862000000	    42.006000000	   68.652000000	1.403	12	251.70008574910	0.1775	-47.14933405400	0.1629	5939654966819201408	  0.2623 	0.2322	 -0.592	0.323	 -7.029	0.282	0	      788.89001	      1.42690	18.445800	0.002000	      279.98001	      6.66530 	19.233600	0.025800	      826.72998	     12.04200	17.468500	0.015800	 1.7651	       	     	       	      	      	      	         	0.00
-0.2776	-0.1138	 0.4236	 1425.517000000	   104.246000000	  263.765000000	1.292	12	251.68322180546	0.0596	-47.15218010619	0.0593	5939654932477169152	  0.3794 	0.0787	  0.053	0.117	 -2.194	0.105	0	     4904.79980	      3.44070	16.461800	0.000800	     1955.40002	     18.75800 	17.123300	0.010400	     4382.29980	     16.61500	15.657700	0.004100	 1.4656	       	     	4406.9 	      	      	      	         	0.00
-0.3147	-0.3323	 0.6763	  532.952000000	    29.201000000	   64.253000000	1.589	11	251.68315379228	0.1961	-47.15340792215	0.2402	5939654932477165312	  0.1680 	0.3547	 -1.327	0.367	 -4.436	0.406	0	      880.81000	      1.65270	18.326200	0.002000	      199.50999	      6.83230 	19.601500	0.037200	     1200.09998	     18.67800	17.063900	0.016900	 2.5376	       	     	       	      	      	      	         	0.00
-0.1958	-0.1027	 0.4183	 1219.748000000	    57.298000000	  181.964000000	1.429	12	251.70122653816	0.0805	-47.15047802949	0.0762	5939654966836889088	  0.2631 	0.1012	 -2.606	0.153	 -2.031	0.134	0	     3356.80005	      2.75200	16.873600	0.000900	     1092.90002	     19.07400 	17.754900	0.018900	     3704.00000	     20.35600	15.840200	0.006000	 1.9147	       	     	3998.0 	      	      	      	         	0.00
-0.1838	-0.1785	 0.4126	  649.798000000	    46.650000000	   64.786000000	1.432	12	251.68937178105	0.1623	-47.14654343343	0.1468	5939654966819265536	  0.1964 	0.2202	 -1.838	0.287	  0.657	0.252	0	     1045.90002	      1.60950	18.139700	0.001700	      387.37000	      8.30370 	18.881100	0.023300	     1110.30005	     17.13800	17.148300	0.016800	 1.7328	       	     	       	      	      	      	         	0.00
-0.2117	-0.0729	 0.3220	 2026.125000000	   202.102000000	  475.112000000	1.299	11	251.65428512264	0.0551	-47.15788213127	0.0351	5939655035556403072	  0.2275 	0.0694	 -2.092	0.075	 -5.237	0.062	0	    17050.00000	      8.41530	15.109000	0.000500	     6760.29980	     33.45000 	15.776500	0.005400	    15386.00000	     32.38500	14.294100	0.002300	 1.4824	       	     	4417.9 	      	      	      	         	0.00
-0.1408	-0.1022	 0.3155	  917.576000000	    56.813000000	  119.729000000	1.446	12	251.63957425506	0.1067	-47.14308870073	0.0885	5939655104258415872	  1.2645 	0.1307	 -3.914	0.191	  2.453	0.156	0	     1975.80005	      2.15330	17.449000	0.001200	      634.84003	     11.17400 	18.344700	0.019100	     2222.69995	     18.56400	16.394700	0.009100	 1.9500	       	     	       	      	      	      	         	0.00
-0.3612	 0.0036	 0.2629	 2953.254000000	   262.875000000	  780.770000000	1.318	12	251.65139845699	0.0365	-47.15209423836	0.0330	5939655104275893120	  0.8736 	0.0443	  8.321	0.072	  0.538	0.060	0	    14957.00000	      5.06460	15.251300	0.000400	     5156.89990	     19.61700 	16.070400	0.004100	    14559.00000	     18.64700	14.354100	0.001400	 1.7163	       	     	4266.2 	      	      	  1.92	    1.106	0.00
-0.1019	-0.0962	 0.2702	  648.010000000	    33.327000000	   67.891000000	1.437	12	251.64064440704	0.1280	-47.14293549239	0.1066	5939655104258414080	  0.4592 	0.1537	 -0.687	0.238	 -2.671	0.189	0	     1360.59998	      2.09970	17.854000	0.001700	      560.63000	     16.82200 	18.479700	0.032600	     1394.59998	     20.54200	16.900800	0.016000	 1.5789	       	     	       	      	      	      	         	0.67
