# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (098.55820660000+08.03809416000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: {ID: I_352_gedr3dis, description: Estimating distances from parallaxes (1467744818 sources), name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
4.0701 3326024774265451136 98.62169596194 8.06358263706 1586.73486 1444.80566 1750.72717 1591.61121 1471.64246 1752.61597 10033
4.2799 3326017867958116224 98.54506484758 7.96795995515 1599.95264 1440.76367 1796.69348 1641.0686 1491.96094 1816.8075 10033
4.3792 3326017902317849856 98.5595295897 7.96511887598 1472.63354 1305.57019 1695.67456 1469.38733 1285.39624 1695.68298 10033
4.4095 3326023086341089792 98.6120342055 7.98749820943 1550.39441 1334.04553 1821.98633 1804.11316 1534.64563 2108.25195 10033
4.4336 3326021230915268352 98.48952312144 8.0092011385 1735.93054 1063.85718 3213.37988 2206.59106 1879.55286 2996.05249 10033
4.4736 3326024465027814528 98.63342266799 8.03457232372 1480.80823 1242.30066 1868.95801 "" "" "" 10099
4.4776 3326028412100777216 98.51034023147 8.0957411412 1199.34021 1136.99536 1270.99072 1223.51929 1164.32996 1288.57629 10033
4.5195 3326028863070879744 98.54405671976 8.11210442018 1686.57898 1613.63354 1772.67224 1654.73145 1585.5675 1737.75598 10033
4.6326 3326029339824035328 98.60453559123 8.10020132348 1477.88892 1069.43933 2438.99683 1230.17822 1069.58447 1366.01025 10033
4.6329 3326017867959700480 98.55187792856 7.96113414833 1563.52417 559.580078 3464.46753 2150.7356 1851.67078 2568.90698 11033
4.6368 3326021059116537984 98.49523283599 7.99244719619 1478.87036 1083.50024 2133.58618 2013.73901 1686.30786 2460.23901 10033
4.6532 3326021063413797632 98.49896632389 7.98736621103 1561.79346 1495.11694 1641.94604 1567.10303 1476.97937 1644.53979 10033
4.7019 3326028175879616256 98.47991490921 8.04956098629 1452.00476 1423.29114 1486.77441 1442.35791 1407.44592 1483.27234 10033
4.7112 3326023601737231744 98.63456211617 8.01690633008 1422.46521 1121.51941 1837.24561 1535.14636 1281.18494 2079.19214 10033
4.7436 3326024460730725888 98.63787894845 8.03290950202 1332.22595 1090.35608 1850.54871 1180.78381 1044.34717 1304.31726 10033
4.7953 3326028824417660160 98.52397387541 8.11047368189 1216.95557 1156.76245 1297.51575 1242.02576 1174.52087 1318.33215 10033
4.8836 3326028274661762944 98.48225805902 8.06923897206 1340.23364 1162.81274 1532.4198 1298.07678 1131.45142 1501.69812 10033
4.8986 3326022983261829888 98.60024713595 7.96786220025 1301.16858 990.116211 1741.08948 1221.75732 1122.10962 1384.82446 10033
4.9066 3326023124998042496 98.62440636889 7.9892056522 1674.00464 1545.36829 1823.64612 1716.00415 1539.44299 1893.87976 10033
4.9616 3326021544450119936 98.47474998405 8.03503112013 1175.90637 1129.25183 1227.07153 1173.5166 1135.65466 1221.06543 10033
4.9783 3326028274666669056 98.48300680232 8.07470662289 1353.44714 642.273315 2363.55273 1547.64001 1289.89404 1828.39087 10033
4.9869 3326021063413798912 98.49151306587 7.98763017743 1668.86304 1595.19214 1784.63513 1679.2926 1593.72168 1786.27307 10033
4.9948 3326018108476299648 98.50096120785 7.97713048537 1284.9657 1248.81555 1324.69666 1285.88733 1242.08948 1334.2876 10033
5.0554 3326028244599086080 98.47707440184 8.06350694301 1655.13208 1612.52124 1708.40894 1639.61108 1595.30798 1693.81018 10033
5.0833 3326018104179007488 98.4984749218 7.97743899078 1685.92932 1053.85339 3936.92676 2708.68188 2315.63745 3622.39722 10033
5.13 3326023090638315008 98.61512913047 7.97380657005 1214.26184 1120.78345 1340.60144 1257.18958 1136.05872 1382.9425 10033
5.1772 3326023086346808960 98.6173617288 7.97473740639 1401.57239 1024.92957 1944.82251 2162.95142 1790.5415 2946.98608 10033
5.1847 3326029374178872576 98.60443068184 8.11139046403 1637.83362 1303.52991 2319.13599 1636.43604 1414.11865 2035.84082 10033
5.2135 3326018035459502208 98.51013309511 7.96540466627 1347.15076 1295.57141 1396.38916 1327.41577 1272.50781 1381.27954 10033
5.2201 3326028931793803136 98.53426637366 8.12180564601 1206.1134 1034.35266 1410.55005 1238.33984 1115.71631 1380.6084 10033
5.2299 3326022983267547264 98.60670051512 7.96535125012 1324.72717 1189.09619 1449.38147 1348.10388 1215.77686 1518.43115 10033
5.2403 3326021510087005056 98.47030974872 8.03081753029 1469.52783 899.807617 2394.68237 1376.88855 1191.83337 1585.98096 10033
5.2476 3326028897434053632 98.55603548544 8.12552741225 1554.89355 1434.06616 1695.72144 1618.9613 1527.42383 1792.62268 10033
5.3111 3326023704816469504 98.64700275024 8.02786590405 1611.87793 959.157898 2883.64722 1042.60168 897.621582 1160.7616 10033
5.3189 3326017043321009408 98.56883711053 7.95007240993 1471.62817 1215.49744 1899.22961 "" "" "" 10099
5.3571 3326017077684124160 98.58555399413 7.95301484527 1451.38989 1394.66772 1514.7887 1443.65027 1392.03369 1519.82495 10033
5.3947 3326026045575759488 98.64331056066 8.06945683345 1742.83179 1548.59644 1948.60266 1722.6991 1535.75366 1941.07275 10033
5.3967 3326029614696981504 98.59101417986 8.1219684157 1175.62964 948.819702 1547.37659 2461.65234 1285.59705 2934.47192 10133
5.3986 3326029618988550528 98.57859112203 8.12577876909 1243.00085 1022.15356 1702.51843 1253.2395 1119.36023 1438.88867 10033
5.4655 3326021024756767616 98.4886863595 7.97844157395 1382.8136 1126.35352 1740.73743 1268.75781 1088.51672 1490.78711 10033
5.4986 3326022777103396480 98.61556782254 7.96617699829 1268.35217 989.718323 1640.62061 1804.72937 1576.71777 2188.44946 10033
5.5223 3326029137952235264 98.52659849626 8.12464840752 1297.91638 1204.29126 1381.81006 1291.84424 1209.42908 1387.85999 10033
5.5265 3326029305453984896 98.62155729345 8.10554644856 1639.61377 1008.1969 2739.52197 1444.81506 1241.78198 1637.9071 10033
5.5804 3326030374902793600 98.5770793968 8.12920513944 1280.61548 1116.4314 1466.18457 1398.92432 1236.66296 1612.27014 10033
5.6353 3326022296075919872 98.46375282667 8.0467222068 1340.97144 615.401917 2906.58325 3437.60596 2893.13672 4032.98462 11033
5.6527 3326026041277716352 98.64650773277 8.07319142127 1374.30017 1332.89954 1418.67444 1393.40601 1354.70471 1437.32776 10033
5.6989 3326028480821330816 98.47086897743 8.07738343783 1245.99329 703.691223 3842.74023 1795.59338 1534.03088 2032.36865 11033
5.7606 3326029653348283648 98.58808339775 8.12943419403 1392.37195 1355.02112 1427.1637 1385.88696 1349.85352 1417.50854 10033
5.7898 3326029649056701312 98.58709800778 8.13025427947 1586.05383 1151.31262 2554.42847 4074.27856 3142.11426 5312.98779 10033
5.842 3326023533017741056 98.65232215501 8.00989382797 1220.57434 1041.00854 1441.15527 1395.42749 1216.2821 1596.75513 10033
5.8424 3326018069819242752 98.4932544842 7.96498692074 1601.92078 1492.92163 1767.37585 1667.92236 1516.05872 1802.10767 10033
5.885 3326022364786717184 98.45956659746 8.04709849645 1580.53625 1418.66064 1746.10242 1542.66187 1371.55615 1784.83826 10033
6.0043 3326022266004636672 98.45732394817 8.03211590493 1730.08264 1671.14099 1781.21594 1705.86243 1650.24109 1764.78796 10033
6.0072 3326021338291708544 98.46207517255 8.00706336232 1717.15857 1553.81384 1862.43188 1748.92432 1611.05249 1873.23828 10033
6.0104 3326023331156457600 98.65153015755 7.99943001495 1728.61255 1566.42273 1904.42163 1793.56799 1606.2384 1943.71045 10033
6.0394 3326030370611118848 98.56778824732 8.13830214593 1210.59985 523.151794 2082.91626 1437.8894 1173.41272 1718.89734 10033
6.0483 3326029172313805440 98.53929888253 8.13714550953 1342.07971 947.575684 2493.85693 799.808044 707.026489 912.754883 10033
6.0508 3326017043324401024 98.56880432319 7.93779427627 1678.23499 1537.01221 1811.44641 1639.1416 1517.84424 1760.00854 10033
6.0568 3326022261707489024 98.45628775758 8.04051986099 1517.37512 1353.71411 1745.17029 1646.02722 1457.09045 1859.46631 10033
6.0676 3326028656915926656 98.48024366295 8.10342451837 1423.51282 1345.70764 1511.06201 1429.21667 1342.37256 1515.47473 10033
6.0901 3326030404965675520 98.5802697371 8.13721670979 1516.41821 1380.93579 1657.31873 1481.33228 1357.8833 1606.74646 10033
6.1325 3326016974604938624 98.53502507067 7.93849700376 1204.70203 1160.73828 1255.84851 1198.74072 1143.81348 1252.3894 10033
6.1441 3326025976856283904 98.66079739952 8.05103011247 1650.49829 1583.08154 1733.68921 1605.5957 1532.30908 1687.91956 10033
6.1476 3326029477252710784 98.61623565233 8.12292971381 1414.44934 1230.88403 1596.32581 1414.08984 1286.67749 1571.41089 10033
6.1661 3326023331156455168 98.65514261066 8.00138415637 1414.41064 1277.87427 1558.63391 1380.72009 1278.38367 1494.30115 10033
