# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (339.84991355000+59.00460428000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: !!omap
# - {ID: I_352_gedr3dis}
# - {description: Estimating distances from parallaxes (1467744818 sources)}
# - {name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
1.2971 2008430203444775936 339.80821696116 59.0071197529 2319.92725 1910.02112 2920.67603 2124.4668 1754.86987 2799.08569 10033
1.3135 2008430302223290240 339.83301081035 59.02469207345 2803.35376 2159.1355 3435.44067 2679.31055 2095.49634 3546.34375 10033
1.3197 2008383233685346560 339.84648404757 58.98268116081 2483.8457 2350.32251 2638.91479 2461.15112 2290.03906 2647.37646 10033
1.3309 2008384745507093248 339.89101296063 59.01124928572 2782.44897 1669.18152 4165.57471 5640.24414 4628.5415 7411.41699 10033
1.3327 2008430199143986048 339.80697184499 59.00669308451 2159.77173 1878.90454 2498.90063 2067.34717 1872.75842 2327.21191 10033
1.3361 2008383027520146816 339.85928516332 58.98286507719 2783.09497 1417.4939 5458.40234 5969.56445 4846.88184 7888.15723 20033
1.3362 2008430267863480832 339.8088754092 59.01163278866 2882.26855 2192.83716 4109.37158 3216.40503 2442.63745 4263.12598 10033
1.3504 2008430306528316800 339.81591388109 59.01875101077 2899.81934 2599.43433 3180.97339 2830.50952 2642.18384 3110.44141 10033
1.3517 2008431715277915264 339.85463826254 59.02700150857 2398.42749 2250.89404 2585.11523 2367.75317 2205.01709 2548.2854 10033
1.3658 2008430306529323008 339.82522581435 59.02348982282 2748.23315 1560.8291 3851.0249 3126.69727 1794.4552 4525.61328 10033
1.3756 2008383199317468800 339.83110739776 58.98382466386 2468.10083 1192.0957 4397.49805 "" "" "" 10099
1.4156 2008383268045076224 339.81714584276 58.98811786511 2786.62622 2515.52368 3217.71338 2805.69653 2538.69995 3089.36279 10033
1.4484 2008384809929661568 339.88458670204 59.02085445255 2564.47485 1750.26282 4162.771 2532.73682 1762.59363 3355.99243 10033
1.4611 2008430267863482240 339.8039760773 59.01038793169 2137.4165 1473.47729 3428.65723 1690.53772 1318.58801 2899.99048 10033
1.4814 2008384504987548800 339.87860102525 58.98482470953 2767.08862 1443.59302 5324.39209 4196.47461 3430.7915 5645.75342 10033
1.5015 2008384814226561664 339.88604772834 59.02134119461 2663.30176 1451.67834 4496.65088 2964.18091 1280.02515 5205.13379 20033
1.5153 2008384535051649792 339.89826916591 59.0004010598 2737.69531 2125.70386 3426.58203 2829.7583 2100.21362 3547.55273 10033
1.5205 2008384504995669248 339.89581711423 58.99547917199 2620.3623 2461.53345 2759.61401 2605.56982 2475.5769 2754.27393 10033
1.5341 2008430203449107456 339.80307900378 58.99612356334 2935.4917 2416.86938 3865.22241 2541.77124 2142.70825 3030.24951 10033
1.5405 2008383263741286912 339.80917004586 58.98981190435 2069.97339 1120.16626 3200.93555 1795.0874 1475.42993 4607.88672 10033
1.5559 2008384814233513472 339.87729597814 59.02636922696 2274.39209 2053.16479 2610.05786 2115.32422 1963.05762 2354.12939 10033
1.5601 2008384814233515520 339.88188034195 59.02473464817 2345.85156 1836.6084 3672.00317 2409.38257 1819.27307 3269.34131 10033
1.5701 2008383023223055104 339.86356545801 58.97939930691 2296.37695 1228.52173 3843.1814 3426.89551 2521.1001 5066.18359 10033
