# 	SNRa 	Literature 	Revised 	
		dist (kpc) 	distb (kpc) 	nobs
140	G260.4 − 3.4 	1.3 ± 0.3 	1.4 ± 0.8 	1.4
141	G263.9 − 3.3 	0.25 ± 0.03 	··· 	0.25
142	G266.2 − 1.2 	0.7 ± 0.2 	··· 	0.7
143	G267.0 − 1.0  	⩽0.9 	··· 	0.9
144	G272.2 − 3.2 	2- 10 	··· 	4
145	G276.5 + 19.0  	0.2 ± 0.14 	··· 	0.2
146	G279.0 + 1.1 	2.7 ± 0.3 	··· 	2.7
147	G284.3 − 1.8 	5.5 ± 0.7 	··· 	5.5
148	G290.1 − 0.8 	7 ± 1 	6.3 ± 0.8 	6.3
149	G291.0 − 0.1 	3.5	··· 	3.5
150	G292.0 + 1.8 	6.2 ± 0.9 	6.2 ± 0.8 	6.2
151	G292.2 − 0.5 	8.4 ± 0.4 	8.1 ± 0.6 	8.1
152	G296.1 − 0.5 	4.3 ± 0.8 	··· 	4.3
153	G296.5 + 10.0 	2.1+1.8 −0.8 	··· 	2.1
154	G296.7 − 0.9 	9.8+1.1 −0.7 	··· 	9.8
155	G296.8 − 0.3 	9.6 ± 0.6 	9.3 ± 0.6 	9.6
156	G298.6 + 0.0 	10	··· 	10
157	G299.2 − 2.9 	2.8 ± 0.8 	··· 	2.8
158	G304.6 + 0.1 	9.7	7.9 ± 0.6 	7.9
159	G306.3 − 0.9 	20	··· 	20
160	G308.4 − 1.4 	5 ± 0.7 	··· 	5
161	G308.8 − 0.1 	5.4	··· 	5.4
162	G309.2 − 0.6 	2.8 ± 0.8 	··· 	2.8
163	G309.8 − 2.6   	2.3 ± 0.2 	··· 	2.3
164	G310.6 − 1.6 	7	··· 	7
165	G311.5 − 0.3 	> 6.6 	10.3 ± 0.5 	10.3
166	G312.4 − 0.4 	> 6 	3.5 ± 0.5 	3.5
167	G313.3 + 0.1  	5.6	··· 	5.6
168	G315.1 + 2.7 	1.7	··· 	1.7
169	G315.4 − 2.3 	2.8 ± 0.4 	2.2 ± 0.4 	2.2
170	G316.3 + 0.0 	> 7.2 	9.4 ± 0.4 	9.4
171	G318.2 + 0.1 	3.5 ± 0.2 	2.7 ± 0.4 	2.7
172	G320.4 − 1.2 	5.2 ± 1.4 	··· 	5.4
173	G322.1 + 0.0 	9.4+0.8 −1 	··· 	9.4
174	G323.7 − 1.0 	3.5	··· 	3.5
175	G326.3 − 1.8 	4.1 ± 0.7 	3.5 ± 0.6 	4.1
176	G327.1 − 1.1 	9	··· 	9
177	G327.2 − 0.1 	4.5 ± 0.5 	··· 	4.5
178	G327.4 + 0.4 	4.3 ± 0.5 	4.4 ± 0.5 	4.4
179	G327.6 + 14.6 	2.18 ± 0.08 	··· 	2.18
180	G328.4 + 0.2 	> 17.4± 0.9 	> 16.7± 0.7 	16.7
181	G330.0 + 15.0 	1.2	··· 	1.2
182	G330.2 + 1.0 	> 4.9± 0.3 	··· 	4.9
183	G332.4 − 0.4 	3.0 ± 0.3 	··· 	3
184	G332.4 + 0.1 	9.2 ± 1.7 	··· 	9.2
185	G332.5 − 5.6 	3 ± 0.8 	··· 	3
186	G335.2 + 0.1 	1.8 ± 0.4 	1.7 ± 0.4 	1.8
187	G337.0 − 0.1 	11 ± 0.3 	10.8 ± 0.3 	10.8
188	G337.2 − 0.7 	5.5 ± 4 	9.4 ± 0.3 	9.4
189	G337.2 + 0.1 	14	··· 	14
190	G337.8 − 0.1 	12.3	12.2 ± 0.3 	12.2
191	G338.3 + 0.0 	8.5-13 	13 ± 0.4 	13
192	G338.5 + 0.1 	11	··· 	11
193	G340.6 + 0.3 	15	··· 	15
194	G341.2 + 0.9 	6.9	··· 	15.8
195	G341.9 − 0.3 	··· 	15.8 ± 0.6 	15.8
196	G342.0 − 0.2 	··· 	15.8 ± 0.6 	15.8
197	G343.0 − 6.0 	1.2 ± 0.2 	··· 	1.2
198	G343.1 − 0.7 	··· 	4.9 ± 0.2 	4.9
199	G344.7 − 0.1 	6.3 ± 0.1 	··· 	6.3
200	G346.6 − 0.2 	5.5/11 	10.4 ± 0.2 	10.4
201	G347.3 − 0.5 	1	0.9 ± 0.6 	0.9
202	G348.5 + 0.0 	⩽ 6.3 	7.2 ± 0.2 	7.2
203	G348.5 + 0.1 	6.3 - 9.5 	··· 	8
204	G348.7 + 0.3 	13.2 ± 0.2 	··· 	13.2
205	G349.7 + 0.2 	11.5 ± 0.7 	··· 	11.5
206	G350.0 − 2.0 	3	··· 	3
207	G350.1 − 0.3 	9 ± 3 	··· 	9
208	G351.7 + 0.8 	13.2 ± 0.5 	14 ± 0.6 	14
209	G352.7 − 0.1 	7.5 ± 0.5 	··· 	7.5
210	G353.6 − 0.7 	3.2 ± 0.8 	4.8 ± 0.8 	4.8
211	G354.4 + 0.0  	5-8 	··· 	6.5
212	G354.8 − 0.8 	··· 	8.3 ± 0.2 	8.3
213	G355.6 + 0.0 	13	··· 	13
214	G357.7 − 0.1 	11.8	11.5 ± 0.7 	11.5
215	G359.1 − 0.5 	5	··· 	5
